# seed=42 run=1 frequency_hz=2.8e+10 bandwidth_hz=1e+08 tx_dbm=23
src,dst,kind,distance_m,los,pathloss_db,beam_gain_db,sinr_db,bler
0,1,backhaul,200,0,130.876,36.1236,15.2476,1e-05
0,2,backhaul,200,0,129.243,36.1236,16.8809,1e-05
0,3,backhaul,200,0,123.53,36.1236,22.5937,1e-05
0,4,backhaul,200,0,147.183,36.1236,-1.0593,0.000320575
0,5,backhaul,200,1,106.872,36.1236,39.2514,1e-05
0,6,backhaul,200,0,131.623,36.1236,14.5005,1e-05
0,7,backhaul,400,0,132.032,36.1236,14.0912,1e-05
0,9,backhaul,400,0,141.243,36.1236,4.88045,8.16498e-05
0,10,backhaul,400,0,136.529,36.1236,9.59484,2.7575e-05
0,11,backhaul,400,0,154.518,36.1236,-8.39479,0.5
0,12,backhaul,400,0,155.296,36.1236,-9.17244,0.5
0,20,access,98.482,0,137.011,30.103,0.0915664,0.000245948
0,27,access,174.287,0,141.3,30.103,-4.19686,0.000660216
0,43,access,107.127,0,119.655,30.103,17.4482,1e-05
0,54,access,98.5859,0,137.826,30.103,-0.723179,0.0002967
1,2,backhaul,200,0,129.02,36.1236,17.1033,1e-05
1,3,backhaul,346.41,0,132.58,36.1236,13.5435,1.11083e-05
1,4,backhaul,400,0,135.256,36.1236,10.8675,2.05707e-05
1,5,backhaul,346.41,0,147.586,36.1236,-1.46286,0.000351792
1,6,backhaul,200,1,116.619,36.1236,29.5041,1e-05
1,7,backhaul,222.821,0,139.233,36.1236,6.8901,5.14031e-05
1,12,backhaul,278.268,0,133.495,36.1236,12.6283,1.37143e-05
1,20,access,185.245,0,118.923,30.103,18.1796,1e-05
1,36,access,127.946,0,127.219,30.103,9.88408,2.57983e-05
2,3,backhaul,200,0,131.892,36.1236,14.2316,1e-05
2,4,backhaul,346.41,0,151.828,36.1236,-5.70427,0.000934172
2,5,backhaul,400,0,164.075,36.1236,-17.951,0.5
2,6,backhaul,346.41,0,160.983,36.1236,-14.8598,0.5
2,7,backhaul,278.268,1,116.67,36.1236,29.4532,1e-05
2,8,backhaul,222.821,0,137.398,36.1236,8.72535,3.36872e-05
2,25,access,196.196,0,122.619,30.103,14.4842,1e-05
2,42,access,98.839,0,120.115,30.103,16.988,1e-05
2,48,access,81.0064,0,121.149,30.103,15.9545,1e-05
2,54,access,182.308,0,131.021,30.103,6.08222,6.19124e-05
3,4,backhaul,200,0,122.944,36.1236,23.1797,1e-05
3,5,backhaul,346.41,0,138.386,36.1236,7.73718,4.22944e-05
3,8,backhaul,278.268,0,132.832,36.1236,13.2915,1.17719e-05
3,9,backhaul,222.821,0,152.107,36.1236,-5.98383,0.000996283
3,25,access,32.0492,1,94.502,30.103,42.601,1e-05
3,29,access,146.663,0,124.632,30.103,12.4707,1.42209e-05
3,39,access,185.459,0,132.106,30.103,4.99685,7.94905e-05
3,54,access,102.922,1,102.708,30.103,34.3952,1e-05
4,5,backhaul,200,0,124.668,36.1236,21.4561,1e-05
4,6,backhaul,346.41,0,138.954,36.1236,7.16917,4.8204e-05
4,9,backhaul,278.268,0,131.83,36.1236,14.2935,1e-05
4,10,backhaul,222.821,0,119.863,36.1236,26.2611,1e-05
4,23,access,159.42,0,123.48,30.103,13.6232,1.09064e-05
4,27,access,168.806,0,138.037,30.103,-0.934244,0.000311476
4,43,access,150.205,0,113.927,30.103,23.1755,1e-05
4,54,access,164.548,0,136.207,30.103,0.896176,0.000204354
5,6,backhaul,200,0,127.419,36.1236,18.7044,1e-05
5,10,backhaul,278.268,0,147.587,36.1236,-1.46349,0.000351843
5,11,backhaul,222.821,0,145.119,36.1236,1.00471,0.00019931
5,20,access,161.623,0,140.243,30.103,-3.14045,0.000517661
5,27,access,35.4872,1,94.393,30.103,42.71,1e-05
5,43,access,98.9429,0,123.575,30.103,13.5276,1.11491e-05
5,46,access,168.088,0,133.394,30.103,3.7092,0.000106925
6,11,backhaul,278.268,0,140.577,36.1236,5.54629,7.0044e-05
6,12,backhaul,222.821,0,123.725,36.1236,22.3981,1e-05
6,20,access,103.629,0,125.818,30.103,11.285,1.86851e-05
6,26,access,84.1479,0,105.593,30.103,31.5097,1e-05
6,30,access,149.497,0,118.695,30.103,18.4084,1e-05
6,36,access,149.323,0,122.304,30.103,14.7985,1e-05
6,43,access,196.734,0,147.3,30.103,-10.1972,0.5
6,46,access,143.36,0,117.592,30.103,19.5112,1e-05
7,8,backhaul,400,0,144.283,36.1236,1.84036,0.000164424
7,13,backhaul,262.579,0,137.851,36.1236,8.27279,3.73871e-05
7,18,backhaul,390.255,0,145.261,36.1236,0.862827,0.000205929
8,13,backhaul,390.255,0,144.487,36.1236,1.63672,0.000172317
8,14,backhaul,262.579,0,135.017,36.1236,11.1062,1.94708e-05
8,19,access,185.012,0,133.347,30.103,3.75648,0.000105768
8,22,access,64.1197,0,118.997,30.103,18.1063,1e-05
8,29,access,196.29,0,121.773,30.103,15.3302,1e-05
8,31,access,93.5341,0,133.718,30.103,3.38477,0.000115219
8,39,access,174.553,0,131.587,30.103,5.51606,7.05332e-05
8,47,access,85.2603,1,111.594,30.103,25.5085,1e-05
8,48,access,159.983,0,138.062,30.103,-0.958927,0.000313251
8,49,access,48.4716,1,98.9655,30.103,38.1375,1e-05
8,50,access,92.368,1,108.99,30.103,28.1125,1e-05
9,10,backhaul,400,0,146.924,36.1236,-0.799982,0.000301994
9,14,backhaul,390.255,0,144.466,36.1236,1.65764,0.000171489
9,15,backhaul,262.579,0,133.713,36.1236,12.411,1.44177e-05
9,23,access,136.272,0,129.457,30.103,7.64589,4.31927e-05
9,37,access,90.6413,0,114.515,30.103,22.5881,1e-05
9,45,access,153.073,0,133.725,30.103,3.37832,0.00011539
9,52,access,119.209,0,121.304,30.103,15.799,1e-05
10,11,backhaul,400,0,145.523,36.1236,0.600747,0.000218739
10,15,backhaul,390.255,0,146.06,36.1236,0.0635557,0.000247539
10,16,backhaul,262.579,1,114.354,36.1236,31.7691,1e-05
10,24,access,89.7088,0,111.969,30.103,25.134,1e-05
10,28,access,118.026,0,123.205,30.103,13.8983,1.02369e-05
11,16,backhaul,390.255,0,139.867,36.1236,6.25686,5.94722e-05
11,17,backhaul,262.579,0,150.503,36.1236,-4.37913,0.000688515
11,33,access,14.4903,1,82.321,30.103,54.782,1e-05
11,38,access,171.891,0,123.794,30.103,13.3091,1.17243e-05
11,40,access,158.573,1,109.763,30.103,27.3403,1e-05
11,44,access,79.2515,1,91.8526,30.103,45.2504,1e-05
11,46,access,135.876,0,127.88,30.103,9.2231,3.00393e-05
11,53,access,187.898,0,134.73,30.103,2.37263,0.000145458
12,17,backhaul,390.255,0,138.948,36.1236,7.17609,4.81273e-05
12,18,backhaul,262.579,0,140.851,36.1236,5.27286,7.45957e-05
12,26,access,160.683,1,108.988,30.103,28.1148,1e-05
12,30,access,196.729,0,126.48,30.103,10.6228,2.17632e-05
12,34,access,84.8409,0,118.065,30.103,19.0375,1e-05
12,36,access,151.518,0,125.717,30.103,11.386,1.82557e-05
13,51,access,144.65,0,131.592,30.103,5.51088,7.06175e-05
14,19,access,188.639,0,122.164,30.103,14.9391,1e-05
14,31,access,189.753,0,137.377,30.103,-0.273595,0.000267522
14,35,access,182.456,0,129.932,30.103,7.17086,4.81852e-05
14,47,access,199.141,0,133.924,30.103,3.17863,0.000120819
15,45,access,112.52,0,141.527,30.103,-4.42357,0.000695596
16,28,access,148.593,0,145.18,30.103,-8.07728,0.5
16,41,access,31.2238,1,93.9183,30.103,43.1847,1e-05
17,32,access,89.0598,1,107.829,30.103,29.2742,1e-05
17,38,access,139.389,0,123.666,30.103,13.4367,1.1385e-05
17,44,access,183.993,0,130.474,30.103,6.62892,5.45893e-05
17,53,access,82.0077,0,122.479,30.103,14.6242,1e-05
