# seed=42 run=1
id,kind,x,y,z
0,donor,0,0,10
1,iab,200,0,10
2,iab,100,173.205,10
3,iab,-100,173.205,10
4,iab,-200,2.44929e-14,10
5,iab,-100,-173.205,10
6,iab,100,-173.205,10
7,iab,375.877,136.808,10
8,iab,69.4593,393.923,10
9,iab,-306.418,257.115,10
10,iab,-375.877,-136.808,10
11,iab,-69.4593,-393.923,10
12,iab,306.418,-257.115,10
13,iab,459.627,385.673,10
14,iab,-104.189,590.885,10
15,iab,-563.816,205.212,10
16,iab,-459.627,-385.673,10
17,iab,104.189,-590.885,10
18,iab,563.816,-205.212,10
19,ue,-115.146,402.756,1.5
20,ue,38.4574,-90.2634,1.5
21,ue,-562.026,-3.33474,1.5
22,ue,36.2171,448.09,1.5
23,ue,-303.279,121.144,1.5
24,ue,-415.718,-56.8821,1.5
25,ue,-93.6642,203.45,1.5
26,ue,146.603,-242.752,1.5
27,ue,-104.701,-139.073,1.5
28,ue,-392.584,-253.336,1.5
29,ue,-111.829,319.143,1.5
30,ue,120.558,-321.038,1.5
31,ue,-19.5901,421.247,1.5
32,ue,100.551,-502.306,1.5
33,ue,-59.2293,-388.173,1.5
34,ue,317.517,-340.796,1.5
35,ue,-230.632,459.621,1.5
36,ue,239.759,-121.314,1.5
37,ue,-303.962,347.323,1.5
38,ue,-31.7846,-561.419,1.5
39,ue,-101.243,358.465,1.5
40,ue,-227.714,-399.272,1.5
41,ue,-430.096,-391.206,1.5
42,ue,182.965,226.25,1.5
43,ue,-72.2867,-78.6037,1.5
44,ue,-16.4889,-452.256,1.5
45,ue,-451.706,209.675,1.5
46,ue,19.2543,-291.357,1.5
47,ue,59.7873,478.206,1.5
48,ue,132.254,247.025,1.5
49,ue,39.5228,431.086,1.5
50,ue,128.503,464.446,1.5
51,ue,354.138,484.281,1.5
52,ue,-366.721,154.636,1.5
53,ue,32.8879,-551.272,1.5
54,ue,-56.6078,80.2651,1.5
