ue,algo,hops,delay_ms,reliability,path
19,dijkstra_optimal,2,7.40419,0.996430121060796,0-1-19
19,greedy,2,7.40419,0.996430121060796,0-1-19
20,dijkstra_optimal,2,7.51402,0.97594775713008,0-1-20
20,greedy,2,7.51402,0.97594775713008,0-1-20
21,dijkstra_optimal,3,10.69102,0.9430888254562547,0-1-2-21
21,greedy,3,10.69102,0.9430888254562547,0-1-2-21
22,dijkstra_optimal,3,10.82387,0.9721706885008633,0-1-2-22
22,greedy,3,10.82387,0.9721706885008633,0-1-2-22
23,dijkstra_optimal,4,14.096770000000001,0.9336359621623147,0-1-2-3-23
23,greedy,4,14.096770000000001,0.9336359621623147,0-1-2-3-23
24,dijkstra_optimal,4,14.25306,0.9184238429841575,0-1-2-3-24
24,greedy,4,14.25306,0.9184238429841575,0-1-2-3-24
25,dijkstra_optimal,5,17.102520000000002,0.9272477037689116,0-1-2-3-4-25
25,greedy,5,17.102520000000002,0.9272477037689116,0-1-2-3-4-25
26,dijkstra_optimal,5,17.03829,0.9073665417991563,0-1-2-3-4-26
26,greedy,5,17.03829,0.9073665417991563,0-1-2-3-4-26
27,dijkstra_optimal,4,12.459049999999998,0.9174364792263042,0-1-6-5-27
27,greedy,6,19.9975,0.9232635924477617,0-1-2-3-4-5-27
28,dijkstra_optimal,4,12.334748999999999,0.9224877812786764,0-1-6-5-28
28,greedy,6,19.873199,0.9283469779300404,0-1-2-3-4-5-28
29,dijkstra_optimal,3,9.651055,0.9416878606250396,0-1-6-29
29,greedy,3,9.651055,0.9416878606250396,0-1-6-29
30,dijkstra_optimal,3,9.802753,0.9478157178816079,0-1-6-30
30,greedy,3,9.802753,0.9478157178816079,0-1-6-30
31,dijkstra_optimal,2,6.070552,0.94060673723039,0-7-31
31,greedy,3,10.660122,0.9683050061887326,0-1-7-31
32,dijkstra_optimal,2,6.3494600000000005,0.91305639322638,0-7-32
32,greedy,3,10.93903,0.93994338069171,0-1-7-32
33,dijkstra_optimal,3,9.89795,0.8783735106718025,0-7-8-33
33,greedy,4,14.48752,0.9042391830952309,0-1-7-8-33
34,dijkstra_optimal,3,9.916,0.8788853671901556,0-7-8-34
34,greedy,4,14.50557,0.9047661123734871,0-1-7-8-34
35,dijkstra_optimal,4,13.129570000000001,0.898684132846677,0-7-8-9-35
35,greedy,5,17.71914,0.9251478969628861,0-1-7-8-9-35
36,dijkstra_optimal,4,12.827714000000002,0.9022283619516418,0-7-8-9-36
36,greedy,5,17.417284,0.9287964938201896,0-1-7-8-9-36
37,dijkstra_optimal,5,15.28953,0.876153397617144,0-7-12-11-10-37
37,greedy,6,19.8791,0.9019536938465992,0-1-7-12-11-10-37
38,dijkstra_optimal,5,15.25851,0.8935326754549276,0-7-12-11-10-38
38,greedy,6,19.84808,0.9198447433874753,0-1-7-12-11-10-38
39,dijkstra_optimal,4,12.36666,0.8916561839226939,0-7-12-11-39
39,greedy,5,16.95623,0.9179129943654739,0-1-7-12-11-39
40,dijkstra_optimal,4,12.53084,0.8708861552276008,0-7-12-11-40
40,greedy,5,17.12041,0.8965313457251919,0-1-7-12-11-40
41,dijkstra_optimal,3,8.86234,0.9094885703814235,0-7-12-41
41,greedy,4,13.45191,0.9362704953239757,0-1-7-12-41
42,dijkstra_optimal,3,8.676077,0.9183142145526634,0-7-12-42
42,greedy,4,13.265647,0.9453560303255804,0-1-7-12-42
43,dijkstra_optimal,2,6.80426,0.95200884770509,0-13-43
43,greedy,3,11.34163,0.9814292972535874,0-1-13-43
44,dijkstra_optimal,2,6.695725,0.94774444907972,0-13-44
44,greedy,3,11.233095,0.9770331135876531,0-1-13-44
45,dijkstra_optimal,3,9.83842,0.8945676783759371,0-13-14-45
45,greedy,4,14.37579,0.9222129920858035,0-1-13-14-45
46,dijkstra_optimal,3,9.705419999999998,0.8846775356904882,0-13-14-46
46,greedy,4,14.24279,0.9120172089174894,0-1-13-14-46
47,dijkstra_optimal,4,12.752213,0.8682622023297295,0-13-14-15-47
47,greedy,5,17.289583,0.895094583541403,0-1-13-14-15-47
48,dijkstra_optimal,4,12.91242,0.8858771902082293,0-13-14-15-48
48,greedy,5,17.44979,0.9132539370142206,0-1-13-14-15-48
49,dijkstra_optimal,5,15.08147,0.8683979385068481,0-13-18-17-16-49
49,greedy,6,19.618840000000002,0.8952345144477624,0-1-13-18-17-16-49
50,dijkstra_optimal,5,14.98224,0.8560403664426155,0-13-18-17-16-50
50,greedy,6,19.51961,0.8824950495824975,0-1-13-18-17-16-50
51,dijkstra_optimal,4,11.87812,0.8995934143341475,0-13-18-17-51
51,greedy,5,16.41549,0.9273940411081301,0-1-13-18-17-51
52,dijkstra_optimal,4,11.670577999999999,0.892389367303474,0-13-18-17-52
52,greedy,5,16.207948000000002,0.9199673634761528,0-1-13-18-17-52
53,dijkstra_optimal,3,9.296596,0.9053294472767608,0-13-18-53
53,greedy,4,13.833966,0.9333073378106373,0-1-13-18-53
54,dijkstra_optimal,3,9.562529999999999,0.9095074525075943,0-13-18-54
54,greedy,4,14.0999,0.937614458219763,0-1-13-18-54
