flow_id,src,dst,tx_packets,rx_packets,lost_packets,mean_delay_ms,throughput_mbps,empirical_reliability
1,10.0.24.2,10.0.6.1,634,632,1,6.01686,0.265946,0.996845
2,10.0.25.2,10.0.6.1,633,621,3,6.01686,0.261317,0.981043
3,10.0.26.2,10.0.6.1,633,584,22,8.0253,0.245747,0.922591
4,10.0.27.2,10.0.6.1,633,612,5,9.0253,0.25753,0.966825
5,10.0.28.2,10.0.6.1,632,589,27,12.0337,0.247851,0.931962
6,10.0.29.2,10.0.6.1,632,585,23,12.0337,0.246168,0.925633
7,10.0.30.2,10.0.6.1,632,587,17,14.0422,0.24701,0.928797
8,10.0.31.2,10.0.6.1,631,573,29,14.0422,0.241118,0.908082
9,10.0.32.2,10.0.6.1,631,572,26,10.0337,0.240698,0.906498
10,10.0.33.2,10.0.6.1,631,588,23,9.03373,0.24743,0.931854
11,10.0.34.2,10.0.6.1,630,595,14,7.0253,0.250376,0.944444
12,10.0.35.2,10.0.6.1,630,605,12,7.0253,0.254584,0.960317
13,10.0.36.2,10.0.6.1,630,588,20,4.01686,0.24743,0.933333
14,10.0.37.2,10.0.6.1,629,578,20,5.01686,0.243222,0.918919
15,10.0.38.2,10.0.6.1,629,562,29,8.0253,0.23649,0.893482
16,10.0.39.2,10.0.6.1,629,549,32,8.0253,0.231019,0.872814
17,10.0.40.2,10.0.6.1,628,570,27,11.0337,0.239856,0.907643
18,10.0.41.2,10.0.6.1,628,572,26,10.0337,0.240698,0.910828
19,10.0.42.2,10.0.6.1,628,528,41,13.0422,0.222182,0.840764
20,10.0.43.2,10.0.6.1,627,550,36,13.0422,0.23144,0.877193
21,10.0.44.2,10.0.6.1,627,557,35,10.0417,0.234386,0.888357
22,10.0.45.2,10.0.6.1,627,556,37,10.0337,0.233965,0.886762
23,10.0.46.2,10.0.6.1,626,581,21,7.0253,0.244485,0.928115
24,10.0.47.2,10.0.6.1,626,584,22,6.0253,0.245747,0.932907
25,10.0.48.2,10.0.6.1,626,599,14,6.01686,0.252059,0.956869
26,10.0.49.2,10.0.6.1,625,586,20,5.01686,0.246589,0.9376
27,10.0.50.2,10.0.6.1,625,565,28,8.0253,0.237752,0.904
28,10.0.51.2,10.0.6.1,625,561,27,8.0253,0.236069,0.8976
29,10.0.52.2,10.0.6.1,624,534,40,10.0337,0.224707,0.855769
30,10.0.53.2,10.0.6.1,624,549,37,11.0337,0.231019,0.879808
31,10.0.54.2,10.0.6.1,624,522,44,13.0422,0.219658,0.836538
32,10.0.55.2,10.0.6.1,623,506,52,13.0422,0.212925,0.812199
33,10.0.56.2,10.0.6.1,623,547,27,10.0337,0.230178,0.87801
34,10.0.57.2,10.0.6.1,623,568,22,9.03373,0.239014,0.911717
35,10.0.58.2,10.0.6.1,622,555,29,7.0253,0.233544,0.892283
36,10.0.59.2,10.0.6.1,622,560,30,8.03316,0.235648,0.900322
