ue,algo,hops,delay_ms,reliability,path,meets_latency,meets_reliability
19,sac,2,7.65419,0.996430121060796,19-1-0,0,0
20,sac,2,7.76402,0.97594775713008,20-1-0,0,0
21,sac,3,11.19102,0.9430888254562548,21-2-1-0,0,0
22,sac,3,11.32387,0.9721706885008634,22-2-1-0,0,0
23,sac,4,14.84677,0.9336359621623148,23-3-2-1-0,0,0
24,sac,4,15.003060000000001,0.9184238429841576,24-3-2-1-0,0,0
25,sac,5,16.46627,0.8896973055354495,25-4-5-6-1-0,0,0
26,sac,5,16.40204,0.8706212634341757,26-4-5-6-1-0,0,0
27,sac,4,13.209050000000001,0.9174364792263042,27-5-6-1-0,0,0
28,sac,4,13.084749,0.9224877812786765,28-5-6-1-0,0,0
29,sac,3,10.151055,0.9416878606250396,29-6-1-0,0,0
30,sac,3,10.302753,0.9478157178816079,30-6-1-0,0,0
31,sac,2,6.320552,0.94060673723039,31-7-0,0,0
32,sac,2,6.5994600000000005,0.91305639322638,32-7-0,0,0
33,sac,3,10.39795,0.8783735106718024,33-8-7-0,0,0
34,sac,3,10.416,0.8788853671901555,34-8-7-0,0,0
35,sac,4,13.879570000000001,0.898684132846677,35-9-8-7-0,0,0
36,sac,4,13.577714,0.9022283619516418,36-9-8-7-0,0,0
37,sac,5,16.28953,0.876153397617144,37-10-11-12-7-0,0,0
38,sac,5,16.25851,0.8935326754549278,38-10-11-12-7-0,0,0
39,sac,4,13.11666,0.8916561839226937,39-11-12-7-0,0,0
40,sac,4,13.28084,0.8708861552276007,40-11-12-7-0,0,0
41,sac,3,9.36234,0.9094885703814234,41-12-7-0,0,0
42,sac,3,9.176077,0.9183142145526633,42-12-7-0,0,0
43,sac,2,7.05426,0.95200884770509,43-13-0,0,0
44,sac,2,6.945725,0.94774444907972,44-13-0,0,0
45,sac,3,10.33842,0.894567678375937,45-14-13-0,0,0
46,sac,3,10.20542,0.8846775356904882,46-14-13-0,0,0
47,sac,4,13.502213000000001,0.8682622023297295,47-15-14-13-0,0,0
48,sac,4,13.662420000000001,0.8858771902082293,48-15-14-13-0,0,0
49,sac,5,16.08147,0.8683979385068481,49-16-17-18-13-0,0,0
50,sac,5,15.982240000000001,0.8560403664426155,50-16-17-18-13-0,0,0
51,sac,4,12.62812,0.8995934143341475,51-17-18-13-0,0,0
52,sac,4,12.420577999999999,0.892389367303474,52-17-18-13-0,0,0
53,sac,3,9.796596000000001,0.9053294472767608,53-18-13-0,0,0
54,sac,3,10.062529999999999,0.9095074525075943,54-18-13-0,0,0
