src,dst,delay_ms,pb,capacity_mbps
1,2,3.35585,0.5,1000
2,3,3.33563,0.0001,1000
3,4,2.935,0.5,1000
4,5,2.9511,0.0001,1000
5,6,2.57144,0.0001,1000
6,1,2.46769,0.0001,1000
0,1,5.87711,0.5,1000
7,8,3.59065,0.0001,1000
8,9,3.13398,0.5,1000
9,10,2.42767,0.0001,1000
10,11,2.87983,0.5,1000
11,12,3.56851,0.0001,1000
12,7,2.50873,0.0001,1000
0,7,4.76492,0.0001,1000
13,14,2.96012,0.0001,1000
14,15,3.21637,0.0001,1000
15,16,2.41592,0.0001,1000
16,17,3.07595,0.0001,1000
17,18,2.41916,0.0001,1000
18,13,2.68923,0.0001,1000
0,13,5.21999,0.0001,1000
1,7,3.47738,0.0001,1000
7,13,3.49158,0.0001,1000
13,1,3.88025,0.0001,1000
1,19,1.02708,0.5,1000
1,20,1.13691,0.0001,1000
2,21,0.95806,0.0001,1000
2,22,1.09091,0.0001,1000
3,23,1.02818,0.0001,1000
3,24,1.18447,0.0001,1000
4,25,1.09893,0.0001,1000
4,26,1.0347,0.0001,1000
5,27,1.04281,0.0001,1000
5,28,0.918509,0.5,1000
6,29,0.806255,0.0001,1000
6,30,0.957953,0.0001,1000
7,31,0.805632,0.5,1000
7,32,1.08454,0.0001,1000
8,33,1.04238,0.0001,1000
8,34,1.06043,0.0001,1000
9,35,1.14002,0.0001,1000
9,36,0.838164,0.0001,1000
10,37,1.06754,0.0001,1000
10,38,1.03652,0.0001,1000
11,39,1.0245,0.0001,1000
11,40,1.18868,0.0001,1000
12,41,1.08869,0.0001,1000
12,42,0.902427,0.5,1000
13,43,1.08427,0.5,1000
13,44,0.975735,0.0001,1000
14,45,1.15831,0.0001,1000
14,46,1.02531,0.0001,1000
15,47,0.855733,0.0001,1000
15,48,1.01594,0.0001,1000
16,49,1.17714,0.0001,1000
16,50,1.07791,0.0001,1000
17,51,1.04974,0.0001,1000
17,52,0.842198,0.0001,1000
18,53,0.887376,0.0001,1000
18,54,1.15331,0.0001,1000
